
Target: FloripaSat_2

Observer: INPE_RN
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 Jan 2022 13:07:33.103    27 Jan 2022 13:13:43.749      370.64626050    
28 Jan 2022 01:01:34.484    28 Jan 2022 01:07:25.235      350.75110432    
28 Jan 2022 13:01:06.533    28 Jan 2022 13:07:03.891      357.35799239    
29 Jan 2022 00:55:16.592    29 Jan 2022 01:00:35.973      319.38106979    
29 Jan 2022 12:54:43.722    29 Jan 2022 13:00:19.383      335.66053666    
30 Jan 2022 00:49:04.862    30 Jan 2022 00:53:39.361      274.49934877    
30 Jan 2022 12:48:25.634    30 Jan 2022 12:53:29.290      303.65580776    
31 Jan 2022 00:43:03.730    31 Jan 2022 00:46:30.985      207.25551025    


Number of events : 63


Observer: UFSC_PP5UF
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2022 14:27:24.996    01 Jan 2022 14:32:19.160      294.16424192    
02 Jan 2022 02:09:15.245    02 Jan 2022 02:15:28.564      373.31832123    
02 Jan 2022 14:20:49.569    02 Jan 2022 14:26:14.109      324.53937420    
03 Jan 2022 02:03:03.716    03 Jan 2022 02:09:00.612      356.89667267    
03 Jan 2022 14:14:18.071    03 Jan 2022 14:20:04.485      346.41427567    
04 Jan 2022 01:56:54.887    04 Jan 2022 02:02:28.281      333.39445372    
04 Jan 2022 14:07:49.691    04 Jan 2022 14:13:51.110      361.41958146    
05 Jan 2022 01:50:49.676    05 Jan 2022 01:55:50.657      300.98140344    
05 Jan 2022 14:01:23.982    05 Jan 2022 14:07:34.443      370.46111516    
06 Jan 2022 01:44:49.876    06 Jan 2022 01:49:05.948      256.07178358    
06 Jan 2022 03:19:51.765    06 Jan 2022 03:22:44.858      173.09304499    
06 Jan 2022 13:55:00.706    06 Jan 2022 14:01:14.736      374.03025316    
07 Jan 2022 01:38:59.988    07 Jan 2022 01:42:09.656      189.66787462    
07 Jan 2022 03:12:57.766    07 Jan 2022 03:17:01.041      243.27464795    
07 Jan 2022 13:48:39.768    07 Jan 2022 13:54:52.101      372.33311014    
08 Jan 2022 01:33:50.556    08 Jan 2022 01:34:31.237      40.681395214    
08 Jan 2022 03:06:14.109    08 Jan 2022 03:11:05.077      290.96806602    
08 Jan 2022 13:42:21.192    08 Jan 2022 13:48:26.528      365.33623348    
09 Jan 2022 02:59:35.825    09 Jan 2022 03:05:01.948      326.12295072    
09 Jan 2022 13:36:05.129    09 Jan 2022 13:41:57.885      352.75640205    
10 Jan 2022 02:53:01.072    10 Jan 2022 02:58:53.515      352.44359445    
10 Jan 2022 13:29:51.892    10 Jan 2022 13:35:25.880      333.98801191    
11 Jan 2022 02:46:28.949    11 Jan 2022 02:52:40.692      371.74267850    
11 Jan 2022 13:23:42.048    11 Jan 2022 13:28:49.967      307.91918768    
12 Jan 2022 02:39:58.972    12 Jan 2022 02:46:23.978      385.00633525    
12 Jan 2022 13:17:36.646    12 Jan 2022 13:22:09.119      272.47322506    
13 Jan 2022 02:33:30.876    13 Jan 2022 02:40:03.647      392.77088873    
13 Jan 2022 13:11:37.909    13 Jan 2022 13:15:21.139      223.23012468    
13 Jan 2022 14:46:41.923    13 Jan 2022 14:49:07.552      145.62892180    
14 Jan 2022 02:27:04.547    14 Jan 2022 02:33:39.826      395.27885893    
14 Jan 2022 13:05:52.491    14 Jan 2022 13:08:19.398      146.90759182    
14 Jan 2022 14:39:33.186    14 Jan 2022 14:43:20.583      227.39697023    
15 Jan 2022 02:20:39.984    15 Jan 2022 02:27:12.526      392.54131563    
15 Jan 2022 14:32:39.341    15 Jan 2022 14:37:18.129      278.78800799    
16 Jan 2022 02:14:17.298    16 Jan 2022 02:20:41.644      384.34608718    
16 Jan 2022 14:25:52.710    16 Jan 2022 14:31:07.879      315.16913075    
17 Jan 2022 02:07:56.729    17 Jan 2022 02:14:06.947      370.21723510    
17 Jan 2022 14:19:10.826    17 Jan 2022 14:24:52.306      341.48039388    
18 Jan 2022 02:01:38.707    18 Jan 2022 02:07:28.011      349.30361733    
18 Jan 2022 14:12:32.544    18 Jan 2022 14:18:32.568      360.02443337    
19 Jan 2022 01:55:23.977    19 Jan 2022 02:00:44.097      320.12086348    
19 Jan 2022 14:05:57.252    19 Jan 2022 14:12:09.289      372.03691222    
20 Jan 2022 01:49:13.924    20 Jan 2022 01:53:53.822      279.89802165    
20 Jan 2022 03:24:41.372    20 Jan 2022 03:27:02.562      141.19050008    
20 Jan 2022 13:59:24.616    20 Jan 2022 14:05:42.816      378.20028436    
21 Jan 2022 01:43:11.638    21 Jan 2022 01:46:54.097      222.45891835    
21 Jan 2022 03:17:32.421    21 Jan 2022 03:21:18.102      225.68094183    
21 Jan 2022 13:52:54.476    21 Jan 2022 13:59:13.325      378.84887236    
22 Jan 2022 01:37:28.215    22 Jan 2022 01:39:33.830      125.61519071    
22 Jan 2022 03:10:37.997    22 Jan 2022 03:15:17.279      279.28155729    
22 Jan 2022 13:46:26.807    22 Jan 2022 13:52:40.857      374.05067902    
23 Jan 2022 03:03:50.129    23 Jan 2022 03:09:08.083      317.95358275    
23 Jan 2022 13:40:01.709    23 Jan 2022 13:46:05.330      363.62108141    
24 Jan 2022 02:57:06.340    24 Jan 2022 03:02:53.009      346.66873516    
24 Jan 2022 13:33:39.434    24 Jan 2022 13:39:26.511      347.07609219    
25 Jan 2022 02:50:25.498    25 Jan 2022 02:56:33.204      367.70599501    
25 Jan 2022 13:27:20.454    25 Jan 2022 13:32:43.949      323.49494841    
26 Jan 2022 02:43:47.008    26 Jan 2022 02:50:09.279      382.27134392    
26 Jan 2022 13:21:05.627    26 Jan 2022 13:25:56.810      291.18248003    
27 Jan 2022 02:37:10.547    27 Jan 2022 02:43:41.567      391.02054429    
27 Jan 2022 13:14:56.668    27 Jan 2022 13:19:03.402      246.73391492    
27 Jan 2022 14:50:17.177    27 Jan 2022 14:52:33.665      136.48820745    
28 Jan 2022 02:30:35.965    28 Jan 2022 02:37:10.232      394.26662059    
28 Jan 2022 13:08:57.947    28 Jan 2022 13:11:59.379      181.43183501    
28 Jan 2022 14:42:56.665    28 Jan 2022 14:46:42.740      226.07501816    
29 Jan 2022 02:24:03.241    29 Jan 2022 02:30:35.305      392.06365779    
29 Jan 2022 13:03:42.105    29 Jan 2022 13:04:12.128      30.022576859    
29 Jan 2022 14:35:53.304    29 Jan 2022 14:40:34.128      280.82437544    
30 Jan 2022 02:17:32.473    30 Jan 2022 02:23:56.697      384.22456614    
30 Jan 2022 14:28:57.798    30 Jan 2022 14:34:17.131      319.33352774    
31 Jan 2022 02:11:03.896    31 Jan 2022 02:17:14.180      370.28413714    


Number of events : 71


